design_domain,study_level_positive_n,ai_specific_yes_n,ai_specific_no_n,ai_specific_unclear_n,ai_specific_confirmed_percent,not_confirmed_percent
Prospective design,170,103,53,14,60.588235294117645,39.411764705882355
Randomized design,32,28,3,1,87.5,12.5
