evidence_stage,n,prospective_ai_validation_n,randomized_ai_workflow_n,completed_n,unknown_status_n
Human-interaction or downstream-effect evaluation,51,33,11,13,12
"Decision, patient, or economic primary evaluation",14,14,6,3,3
